info_logger - 2021-04-26 14:46:56,907 - INFO: Saved ndvi photos: 24
info_logger - 2021-04-26 14:47:58,807 - INFO: Saved ndvi photos: 25
info_logger - 2021-04-26 14:49:01,021 - INFO: Saved ndvi photos: 26
info_logger - 2021-04-26 14:50:06,461 - INFO: Saved ndvi photos: 27
info_logger - 2021-04-26 14:51:10,705 - INFO: Saved ndvi photos: 28
info_logger - 2021-04-26 14:52:13,900 - INFO: Saved ndvi photos: 29
info_logger - 2021-04-26 14:53:17,013 - INFO: Saved ndvi photos: 30
info_logger - 2021-04-26 14:54:20,220 - INFO: Saved ndvi photos: 31
info_logger - 2021-04-26 14:55:23,597 - INFO: Saved ndvi photos: 32
info_logger - 2021-04-26 14:56:27,916 - INFO: Saved ndvi photos: 33
info_logger - 2021-04-26 14:57:31,621 - INFO: Saved ndvi photos: 34
info_logger - 2021-04-26 14:58:35,211 - INFO: Saved secondary photos: 50
info_logger - 2021-04-26 14:59:39,110 - INFO: Saved secondary photos: 51
info_logger - 2021-04-26 15:00:43,892 - INFO: Saved secondary photos: 52
info_logger - 2021-04-26 15:01:47,432 - INFO: Saved secondary photos: 53
info_logger - 2021-04-26 15:02:51,356 - INFO: Saved secondary photos: 54
info_logger - 2021-04-26 15:03:54,793 - INFO: Saved secondary photos: 55
info_logger - 2021-04-26 15:04:57,818 - INFO: Saved secondary photos: 56
info_logger - 2021-04-26 15:05:59,549 - INFO: Saved secondary photos: 57
info_logger - 2021-04-26 15:07:01,836 - INFO: Saved secondary photos: 58
info_logger - 2021-04-26 15:08:06,939 - INFO: Saved secondary photos: 59
info_logger - 2021-04-26 15:09:10,840 - INFO: Saved secondary photos: 60
info_logger - 2021-04-26 15:10:14,716 - INFO: Saved secondary photos: 61
info_logger - 2021-04-26 15:11:18,266 - INFO: Saved secondary photos: 62
info_logger - 2021-04-26 15:11:25,661 - INFO: End of the experiment
